Vrid,id,Vstatus,sex,race,race_other,hispanic,age_weight,income_weight,race_weight,flag,weight
98,C2058317730,Complete,Female,White,"",No,35-54,0-25K,White,0,0.9596844607808721
99,C2058321874,Complete,Female,Other,unecessary question,No,35-54,0-25K,Not white or Hispanic,0,1.0899972847528137
100,C2058323362,Partial,,,"",,,,,3,1
101,C2058324714,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8747500434200876
102,C2058327255,Complete,Female,Black/African-American,"",No,35-54,50-75K,Not white or Hispanic,0,0.9641893646801329
103,C2058333971,Complete,Male,White,"",No,18-34,25-35K,White,0,0.9245233343954337
105,C2058335261,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3122580536621378
106,C2058335070,Complete,Female,Black/African-American,"",No,35-54,35-50K,Not white or Hispanic,0,1.0052561141857936
107,C2058335430,Complete,Male,White,"",Yes,35-54,25-35K,Hispanic,0,1.552344231912534
108,C2058332897,Complete,Female,Asian,"",Yes,18-34,100-150K,Hispanic,1,1.8244292366060784
109,C2058336678,Complete,Female,White,"",No,55+,50-75K,White,2,0.5064806774633477
110,C2058338484,Complete,Female,White,"",Yes,18-34,50-75K,Hispanic,1,1.592220998790345
111,C2058338748,Complete,Female,White,"",No,55+,25-35K,White,0,0.3568301245540171
112,C2058340000,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
113,C2058339645,Complete,Female,White,"",No,35-54,25-35K,White,0,0.5980865191912716
114,C2058340422,Partial,,,"",,,,,3,1
115,C2058341094,Complete,Male,White,"",No,18-34,0-25K,White,1,1.483482153800004
116,C2058341188,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
117,C2058341994,Complete,Female,White,"",No,35-54,75-100K,White,0,0.9803585904535309
118,C2058342230,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
119,C2058342688,Complete,Female,White,"",No,55+,25-35K,White,0,0.3568301245540171
120,C2058343151,Disqualified,Male,White,"",No,35-54,35-50K,White,0,1.294493067812272
121,C2058342970,Partial,,,"",,,,,3,1
123,C2058344726,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6321176513667556
124,C2058344559,Complete,Male,White,"",Yes,35-54,0-25K,Hispanic,0,2.4908781411153
125,C2058346229,Complete,Male,White,"",No,35-54,35-50K,White,2,1.294493067812272
126,C2058346823,Complete,Female,White,"",No,18-34,100-150K,White,2,1.0280706567072588
127,C2058346324,Complete,Male,White,"",No,35-54,25-35K,White,1,0.8747500434200876
128,C2058348211,Complete,Female,White,"",No,35-54,0-25K,White,0,0.9596844607808721
129,C2058348332,Complete,Female,Black/African-American,"",No,18-34,50-75K,Not white or Hispanic,3,1.0190517544159765
130,C2058348822,Complete,Female,White,"",No,18-34,35-50K,White,1,0.9354351267440567
131,C2058345091,Complete,Female,White,"",Yes,18-34,25-35K,Hispanic,0,1.121765237247368
132,C2058351984,Partial,,,"",,,,,1,1
133,C2058353927,Complete,Female,White,"",No,18-34,150K+,White,0,1.4125080390358076
135,C2058360916,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6321176513667556
136,C2058363696,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
137,C2058363098,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
138,C2058364306,Partial,,,"",,,,,3,1
139,C2058365634,Complete,Female,Asian,"",No,35-54,100-150K,Not white or Hispanic,0,1.10480597095724
140,C2058366543,Complete,Male,White,"",No,55+,35-50K,White,0,0.7723199032246395
141,C2058363026,Complete,Female,White,"",No,35-54,150K+,White,3,1.3364632589676886
142,C2058357196,Complete,Female,White,"",No,35-54,25-35K,White,0,0.5980865191912716
143,C2058367900,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
144,C2058369100,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
145,C2058371422,Complete,Female,White,"",No,18-34,35-50K,White,2,0.9354351267440567
146,C2058375254,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
147,C2058376523,Complete,Male,White,"",No,55+,150K+,White,0,1.1662038775572334
148,C2058376600,Partial,,,"",,,,,0,1
149,C2058377754,Complete,Female,White,"",No,35-54,100-150K,White,1,0.972722718980012
150,C2058377448,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8747500434200876
151,C2058381366,Complete,Female,American Indian/Alaska Native,"",Yes,35-54,100-150K,Hispanic,0,1.7262079761152282
152,C2058382400,Complete,Male,White,"",No,18-34,100-150K,White,1,1.5036367193322242
153,C2058382707,Complete,Female,Asian,"",No,35-54,25-35K,Not white or Hispanic,0,0.6792989869142012
154,C2058385132,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8489172986734048
155,C2058385116,Complete,Female,White,"",No,55+,100-150K,White,0,0.5803454146391758
156,C2058386154,Complete,Female,White,"",No,35-54,35-50K,White,0,0.8850743808117346
157,C2058389011,Complete,Male,White,"",No,35-54,100-150K,White,1,1.4226858712917274
158,C2058390285,Complete,Female,Other,Hispanic,Yes,18-34,0-25K,Hispanic,0,1.7999748067991208
159,C2058390256,Complete,Male,Other,MEXICAN,Yes,18-34,35-50K,Hispanic,0,2.4279385619542957
160,C2058399853,Complete,Female,Black/African-American,"",No,35-54,50-75K,Not white or Hispanic,0,0.9641893646801329
161,C2058400518,Complete,Male,Other,american,No,35-54,0-25K,Not white or Hispanic,0,1.5942094355421752
162,C2058400390,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
163,C2058400374,Complete,Female,White,"",No,55+,100-150K,White,3,0.5803454146391758
164,C2058402356,Complete,Male,Other,Mexican American,Yes,35-54,25-35K,Hispanic,0,1.552344231912534
165,C2058397210,Complete,Female,White,"",No,35-54,100-150K,White,0,0.972722718980012
166,C2058412752,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
167,C2058416586,Complete,Male,White,"",No,35-54,75-100K,White,0,1.4338539526456466
168,C2058418865,Complete,Female,White,"",No,18-34,75-100K,White,3,1.0361410093855066
169,C2058425489,Complete,Male,White,"",No,35-54,25-35K,White,3,0.8747500434200876
170,C2058431472,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
171,C2058436948,Complete,Male,White,"",No,55+,35-50K,White,3,0.7723199032246395
172,C2058437571,Complete,Female,White,"",No,35-54,0-25K,White,0,0.9596844607808721
173,C2058438505,Complete,Female,Asian,"",No,18-34,0-25K,Not white or Hispanic,0,1.1520181470830655
174,C2058447055,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
175,C2058450889,Complete,Male,White,"",No,55+,75-100K,White,0,0.8554653350265367
176,C2058452655,Complete,Male,White,"",No,55+,150K+,White,0,1.1662038775572334
177,C2058450515,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
178,C2058457010,Complete,Female,White,"",No,35-54,100-150K,White,0,0.972722718980012
179,C2058458286,Complete,Male,White,"",No,35-54,50-75K,White,3,1.2416104025864851
180,C2058460469,Complete,Female,White,"",No,35-54,35-50K,White,0,0.8850743808117346
181,C2058468700,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6321176513667556
182,C2058473205,Partial,,,"",,,,,3,1
183,C2058474120,Partial,,,"",,,,,3,1
185,C2058476485,Complete,Female,White,"",No,35-54,100-150K,White,0,0.972722718980012
186,C2058481580,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
187,C2058483925,Complete,Female,White,"",Yes,18-34,35-50K,Hispanic,0,1.660036869106099
188,C2058489637,Complete,Female,White,"",No,35-54,75-100K,White,3,0.9803585904535309
189,C2058493330,Complete,Female,Other,Dominican,Yes,18-34,50-75K,Hispanic,1,1.592220998790345
190,C2058492503,Complete,Female,White,"",No,35-54,100-150K,White,0,0.972722718980012
191,C2058497090,Complete,Male,White,"",No,55+,35-50K,White,0,0.7723199032246395
192,C2058496952,Complete,Female,White,"",No,55+,25-35K,White,0,0.3568301245540171
193,C2058497076,Complete,Male,White,"",No,55+,50-75K,White,1,0.7407690700027477
194,C2058496666,Complete,Female,White,"",No,35-54,75-100K,White,0,0.9803585904535309
195,C2058500876,Complete,Female,White,"",No,18-34,25-35K,White,2,0.6321176513667556
196,C2058501694,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3122580536621378
197,C2058502048,Complete,Female,White,"",No,18-34,100-150K,White,3,1.0280706567072588
198,C2058502512,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
199,C2058502492,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
200,C2058504776,Complete,Male,White,"",No,55+,75-100K,White,0,0.8554653350265367
201,C2058505390,Partial,,,"",,,,,3,1
202,C2058513230,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
203,C2058522021,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8489172986734048
204,C2058524663,Complete,Female,White,"",No,55+,35-50K,White,0,0.5280527004214576
205,C2058527469,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8747500434200876
206,C2058529836,Complete,Female,Black/African-American,"",No,18-34,35-50K,Not white or Hispanic,1,1.062455202602514
207,C2058530660,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
208,C2058531294,Complete,Female,White,"",No,18-34,75-100K,White,1,1.0361410093855066
209,C2058536025,Complete,Female,White,"",No,35-54,50-75K,White,2,0.8489172986734048
210,C2058536518,Complete,Female,White,"",No,35-54,75-100K,White,0,0.9803585904535309
211,C2058546841,Complete,Female,Black/African-American,"",No,35-54,0-25K,Not white or Hispanic,0,1.0899972847528137
212,C2058552920,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6321176513667556
213,C2058553647,Complete,Female,Black/African-American,"",No,18-34,25-35K,Not white or Hispanic,1,0.7179511097569102
214,C2058564836,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8489172986734048
215,C2058566203,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3122580536621378
216,C2058566448,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
217,C2058565815,Complete,Female,Asian,"",No,18-34,50-75K,Not white or Hispanic,0,1.0190517544159765
218,C2058566273,Partial,,,"",,,,,0,1
219,C2058573289,Complete,Female,Asian,"",No,18-34,100-150K,Not white or Hispanic,0,1.1676694477611465
220,C2058576831,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
221,C2058591358,Complete,Female,American Indian/Alaska Native,"",No,18-34,100-150K,Not white or Hispanic,0,1.1676694477611465
222,C2058592471,Disqualified,Male,White,"",No,18-34,0-25K,White,0,1.483482153800004
223,C2058593235,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
224,C2058598954,Complete,Female,White,"",No,35-54,25-35K,White,0,0.5980865191912716
225,C2058605529,Complete,Female,White,"",No,18-34,50-75K,White,3,0.897220706073849
226,C2058608533,Complete,Female,White,"",Yes,18-34,0-25K,Hispanic,0,1.7999748067991208
227,C2058658839,Complete,Female,Other,Hispanic/Latino,Yes,18-34,25-35K,Hispanic,0,1.121765237247368
