id,Vrid,core_flag,flag,na_days,na_part_water,na_days_water,na_basin,na_basin_days,multiple_responses,all_activities,all_basins,high_days,high_sum_days,high_water_days,high_basin_days,low_basin_days
C2058317730,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058321874,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058324714,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058327255,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058333971,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058334912,104,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3
C2058335261,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058335070,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058335430,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058332897,108,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
C2058336678,109,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
C2058338484,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
C2058338748,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058340000,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058339645,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058341094,115,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
C2058341188,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058341994,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058342230,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058342688,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058344726,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058344559,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058346229,125,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
C2058346823,126,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
C2058346324,127,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
C2058348211,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058348332,129,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
C2058348822,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
C2058345091,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058353927,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058358897,134,3,5,0,3,0,0,0,0,0,0,0,0,1,0,1
C2058360916,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058363696,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058363098,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058365634,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058366543,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058363026,141,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0
C2058357196,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058367900,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058369100,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058371422,145,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
C2058375254,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058376523,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058377754,149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
C2058377448,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058381366,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058382400,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
C2058382707,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058385132,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058385116,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058386154,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058389011,157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
C2058390285,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058390256,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058399853,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058400518,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2058400390,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
