Vrid,act,basin,part,days_water
107,trail,arkansas,Checked,5
108,trail,arkansas,Unchecked,
110,trail,arkansas,Unchecked,
113,trail,arkansas,Checked,8
119,trail,arkansas,Unchecked,
127,trail,arkansas,Unchecked,
129,trail,arkansas,Checked,1
131,trail,arkansas,Unchecked,
140,trail,arkansas,Checked,12
152,trail,arkansas,Unchecked,
157,trail,arkansas,Unchecked,
159,trail,arkansas,Unchecked,
161,trail,arkansas,Checked,2
168,trail,arkansas,Unchecked,
169,trail,arkansas,Unchecked,
190,trail,arkansas,Unchecked,
193,trail,arkansas,Checked,2
203,trail,arkansas,Unchecked,
213,trail,arkansas,Unchecked,
214,trail,arkansas,Unchecked,
217,trail,arkansas,Unchecked,
220,trail,arkansas,Unchecked,
221,trail,arkansas,Unchecked,
228,trail,arkansas,Checked,5
232,trail,arkansas,Unchecked,
236,trail,arkansas,Unchecked,
238,trail,arkansas,Checked,1
240,trail,arkansas,Checked,10
242,trail,arkansas,Unchecked,
243,trail,arkansas,Unchecked,
245,trail,arkansas,Unchecked,
246,trail,arkansas,Unchecked,
249,trail,arkansas,Checked,2
252,trail,arkansas,Unchecked,
257,trail,arkansas,Checked,10
262,trail,arkansas,Unchecked,
267,trail,arkansas,Checked,1
270,trail,arkansas,Unchecked,
271,trail,arkansas,Checked,5
272,trail,arkansas,Unchecked,
273,trail,arkansas,Unchecked,
275,trail,arkansas,Unchecked,
276,trail,arkansas,Unchecked,
279,trail,arkansas,Unchecked,
289,trail,arkansas,Checked,2
295,trail,arkansas,Unchecked,
299,trail,arkansas,Checked,8
304,trail,arkansas,Unchecked,
305,trail,arkansas,Unchecked,
306,trail,arkansas,Checked,3
308,trail,arkansas,Checked,4
309,trail,arkansas,Unchecked,
320,trail,arkansas,Unchecked,
331,trail,arkansas,Unchecked,
334,trail,arkansas,Checked,2
343,trail,arkansas,Unchecked,
347,trail,arkansas,Unchecked,
353,trail,arkansas,Unchecked,
357,trail,arkansas,Unchecked,
358,trail,arkansas,Checked,15
361,trail,arkansas,Checked,2
370,trail,arkansas,Checked,2
382,trail,arkansas,Unchecked,
386,trail,arkansas,Unchecked,
388,trail,arkansas,Unchecked,
389,trail,arkansas,Unchecked,
393,trail,arkansas,Unchecked,
394,trail,arkansas,Unchecked,
406,trail,arkansas,Unchecked,
408,trail,arkansas,Unchecked,
411,trail,arkansas,Checked,11
426,trail,arkansas,Unchecked,
430,trail,arkansas,Unchecked,
438,trail,arkansas,Unchecked,
445,trail,arkansas,Checked,4
447,trail,arkansas,Unchecked,
452,trail,arkansas,Unchecked,
464,trail,arkansas,Checked,1
469,trail,arkansas,Checked,1
472,trail,arkansas,Unchecked,
484,trail,arkansas,Unchecked,
485,trail,arkansas,Unchecked,
496,trail,arkansas,Unchecked,
499,trail,arkansas,Unchecked,
500,trail,arkansas,Unchecked,
508,trail,arkansas,Unchecked,
511,trail,arkansas,Unchecked,
512,trail,arkansas,Unchecked,
515,trail,arkansas,Unchecked,
521,trail,arkansas,Unchecked,
529,trail,arkansas,Unchecked,
532,trail,arkansas,Unchecked,
549,trail,arkansas,Unchecked,
551,trail,arkansas,Unchecked,
553,trail,arkansas,Unchecked,
554,trail,arkansas,Unchecked,
555,trail,arkansas,Unchecked,
561,trail,arkansas,Unchecked,
564,trail,arkansas,Unchecked,
568,trail,arkansas,Unchecked,
574,trail,arkansas,Unchecked,
579,trail,arkansas,Unchecked,
582,trail,arkansas,Checked,3
583,trail,arkansas,Checked,10
587,trail,arkansas,Unchecked,
589,trail,arkansas,Unchecked,
590,trail,arkansas,Unchecked,
591,trail,arkansas,Unchecked,
597,trail,arkansas,Unchecked,
