Vrid,id,Vstatus,sex,race,race_other,hispanic,age_weight,income_weight,race_weight,flag,weight
98,C2058317730,Complete,Female,White,"",No,35-54,0-25K,White,0,0.960294639957749
99,C2058321874,Complete,Female,Other,unecessary question,No,35-54,0-25K,Not white or Hispanic,0,1.0924057612006661
100,C2058323362,Partial,,,"",,,,,0,1
101,C2058324714,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8796072786421404
102,C2058327255,Complete,Female,Black/African-American,"",No,35-54,50-75K,Not white or Hispanic,0,0.9696374817499636
103,C2058333971,Complete,Male,White,"",No,18-34,25-35K,White,0,0.9295775461633098
104,C2058334912,Complete,Female,White,"",No,55+,75-100K,White,6,
105,C2058335261,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3207404967342493
106,C2058335070,Complete,Female,Black/African-American,"",No,35-54,35-50K,Not white or Hispanic,0,1.0108490605449003
107,C2058335430,Complete,Male,White,"",Yes,35-54,25-35K,Hispanic,0,1.5619486539368488
108,C2058332897,Complete,Female,Asian,"",Yes,18-34,100-150K,Hispanic,1,1.8255353294931265
109,C2058336678,Complete,Female,White,"",No,55+,50-75K,White,2,0.5048550286390296
110,C2058338484,Complete,Female,White,"",Yes,18-34,50-75K,Hispanic,1,1.5995752179326999
111,C2058338748,Complete,Female,White,"",No,55+,25-35K,White,0,0.3553324062152285
112,C2058340000,Complete,Female,White,"",No,55+,0-25K,White,0,0.5687760139604612
113,C2058339645,Complete,Female,White,"",No,35-54,25-35K,White,0,0.599926503081218
114,C2058340422,Partial,,,"",,,,,0,1
115,C2058341094,Complete,Male,White,"",No,18-34,0-25K,White,1,1.4879628261478124
116,C2058341188,Complete,Female,White,"",No,55+,50-75K,White,0,0.5048550286390296
117,C2058341994,Complete,Female,White,"",No,35-54,75-100K,White,0,0.9783630006284733
118,C2058342230,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0148487361129228
119,C2058342688,Complete,Female,White,"",No,55+,25-35K,White,0,0.3553324062152285
120,C2058343151,Disqualified,Male,White,"",No,35-54,35-50K,White,0,1.3028595504555174
121,C2058342970,Partial,,,"",,,,,0,1
122,C2058343916,Partial,,,"",,,,,0,1
123,C2058344726,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6340081763232666
124,C2058344559,Complete,Male,White,"",Yes,35-54,0-25K,Hispanic,0,2.50019112768171
125,C2058346229,Complete,Male,White,"",No,35-54,35-50K,White,2,1.3028595504555174
126,C2058346823,Complete,Female,White,"",No,18-34,100-150K,White,2,1.0280454221035191
127,C2058346324,Complete,Male,White,"",No,35-54,25-35K,White,1,0.8796072786421404
128,C2058348211,Complete,Female,White,"",No,35-54,0-25K,White,0,0.960294639957749
129,C2058348332,Complete,Female,Black/African-American,"",No,18-34,50-75K,Not white or Hispanic,3,1.0247223423895853
130,C2058348822,Complete,Female,White,"",No,18-34,35-50K,White,1,0.9390822787014618
131,C2058345091,Complete,Female,White,"",Yes,18-34,25-35K,Hispanic,0,1.1258299489310741
132,C2058351984,Partial,,,"",,,,,0,1
133,C2058353927,Complete,Female,White,"",No,18-34,150K+,White,0,1.4196984099540617
134,C2058358897,Complete,Male,White,"",No,18-34,0-25K,White,5,
135,C2058360916,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6340081763232666
136,C2058363696,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0148487361129228
137,C2058363098,Complete,Female,White,"",No,55+,0-25K,White,0,0.5687760139604612
138,C2058364306,Partial,,,"",,,,,0,1
139,C2058365634,Complete,Female,Asian,"",No,35-54,100-150K,Not white or Hispanic,0,1.1066109676436486
140,C2058366543,Complete,Male,White,"",No,55+,35-50K,White,0,0.7716748912510978
141,C2058363026,Complete,Female,White,"",No,35-54,150K+,White,3,1.3433812596123942
142,C2058357196,Complete,Female,White,"",No,35-54,25-35K,White,0,0.599926503081218
143,C2058367900,Complete,Male,White,"",No,55+,100-150K,White,0,0.844778841317184
144,C2058369100,Complete,Female,White,"",No,18-34,50-75K,White,0,0.9007965792491909
145,C2058371422,Complete,Female,White,"",No,18-34,35-50K,White,2,0.9390822787014618
146,C2058375254,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9390822787014618
147,C2058376523,Complete,Male,White,"",No,55+,150K+,White,0,1.1666130231160865
148,C2058376600,Partial,,,"",,,,,0,1
149,C2058377754,Complete,Female,White,"",No,35-54,100-150K,White,1,0.9727819263591836
150,C2058377448,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8796072786421404
151,C2058381366,Complete,Female,American Indian/Alaska Native,"",Yes,35-54,100-150K,Hispanic,0,1.7274020546946702
152,C2058382400,Complete,Male,White,"",No,18-34,100-150K,White,1,1.5073116980373953
153,C2058382707,Complete,Female,Asian,"",No,35-54,25-35K,Not white or Hispanic,0,0.6824605084661585
154,C2058385132,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8523734581948778
155,C2058385116,Complete,Female,White,"",No,55+,100-150K,White,0,0.5761721491559079
156,C2058386154,Complete,Female,White,"",No,35-54,35-50K,White,0,0.8886010758316393
157,C2058389011,Complete,Male,White,"",No,35-54,100-150K,White,1,1.426284817494085
158,C2058390285,Complete,Female,Other,Hispanic,Yes,18-34,0-25K,Hispanic,0,1.8021015239529314
159,C2058390256,Complete,Male,Other,MEXICAN,Yes,18-34,35-50K,Hispanic,0,2.444963330708397
160,C2058399853,Complete,Female,Black/African-American,"",No,35-54,50-75K,Not white or Hispanic,0,0.9696374817499636
161,C2058400518,Complete,Male,Other,american,No,35-54,0-25K,Not white or Hispanic,0,1.6016762950921482
162,C2058400390,Complete,Male,White,"",No,55+,100-150K,White,0,0.844778841317184
163,C2058400374,Complete,Female,White,"",No,55+,100-150K,White,3,0.5761721491559079
164,C2058402356,Complete,Male,Other,Mexican American,Yes,35-54,25-35K,Hispanic,0,1.5619486539368488
165,C2058397210,Complete,Female,White,"",No,35-54,100-150K,White,0,0.9727819263591836
166,C2058412752,Complete,Female,White,"",No,55+,0-25K,White,0,0.5687760139604612
167,C2058416586,Complete,Male,White,"",No,35-54,75-100K,White,0,1.4344677424435512
168,C2058418865,Complete,Female,White,"",No,18-34,75-100K,White,3,1.033943555793603
169,C2058425489,Complete,Male,White,"",No,35-54,25-35K,White,3,0.8796072786421404
170,C2058431472,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9390822787014618
171,C2058436948,Complete,Male,White,"",No,55+,35-50K,White,3,0.7716748912510978
172,C2058437571,Complete,Female,White,"",No,35-54,0-25K,White,0,0.960294639957749
173,C2058438505,Complete,Female,Asian,"",No,18-34,0-25K,Not white or Hispanic,0,1.154465056813967
174,C2058447055,Complete,Male,White,"",No,55+,100-150K,White,0,0.844778841317184
175,C2058450889,Complete,Male,White,"",No,55+,75-100K,White,0,0.8496255323655689
176,C2058452655,Complete,Male,White,"",No,55+,150K+,White,0,1.1666130231160865
177,C2058450515,Complete,Female,White,"",No,55+,0-25K,White,0,0.5687760139604612
178,C2058457010,Complete,Female,White,"",No,35-54,100-150K,White,0,0.9727819263591836
179,C2058458286,Complete,Male,White,"",No,35-54,50-75K,White,3,1.2497429170054246
180,C2058460469,Complete,Female,White,"",No,35-54,35-50K,White,0,0.8886010758316393
181,C2058468700,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6340081763232666
182,C2058473205,Partial,,,"",,,,,0,1
183,C2058474120,Partial,,,"",,,,,0,1
185,C2058476485,Complete,Female,White,"",No,35-54,100-150K,White,0,0.9727819263591836
186,C2058481580,Complete,Female,White,"",No,55+,50-75K,White,0,0.5048550286390296
187,C2058483925,Complete,Female,White,"",Yes,18-34,35-50K,Hispanic,0,1.6675604406298343
188,C2058489637,Complete,Female,White,"",No,35-54,75-100K,White,3,0.9783630006284733
189,C2058493330,Complete,Female,Other,Dominican,Yes,18-34,50-75K,Hispanic,1,1.5995752179326999
190,C2058492503,Complete,Female,White,"",No,35-54,100-150K,White,0,0.9727819263591836
191,C2058497090,Complete,Male,White,"",No,55+,35-50K,White,0,0.7716748912510978
192,C2058496952,Complete,Female,White,"",No,55+,25-35K,White,0,0.3553324062152285
193,C2058497076,Complete,Male,White,"",No,55+,50-75K,White,1,0.7402142688632938
194,C2058496666,Complete,Female,White,"",No,35-54,75-100K,White,0,0.9783630006284733
195,C2058500876,Complete,Female,White,"",No,18-34,25-35K,White,2,0.6340081763232666
196,C2058501694,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3207404967342493
197,C2058502048,Complete,Female,White,"",No,18-34,100-150K,White,3,1.0280454221035191
198,C2058502512,Complete,Male,White,"",No,55+,100-150K,White,0,0.844778841317184
199,C2058502492,Complete,Male,White,"",No,55+,100-150K,White,0,0.844778841317184
200,C2058504776,Complete,Male,White,"",No,55+,75-100K,White,0,0.8496255323655689
201,C2058505390,Partial,,,"",,,,,0,1
202,C2058513230,Complete,Male,White,"",No,55+,50-75K,White,0,0.7402142688632938
203,C2058522021,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8523734581948778
204,C2058524663,Complete,Female,White,"",No,55+,35-50K,White,0,0.5263124013008501
205,C2058527469,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8796072786421404
206,C2058529836,Complete,Female,Black/African-American,"",No,18-34,35-50K,Not white or Hispanic,1,1.0682751405756705
207,C2058530660,Complete,Female,White,"",No,55+,50-75K,White,0,0.5048550286390296
208,C2058531294,Complete,Female,White,"",No,18-34,75-100K,White,1,1.033943555793603
209,C2058536025,Complete,Female,White,"",No,35-54,50-75K,White,2,0.8523734581948778
