Vrid,Vstatus,qualify,race,sex,agecat,stwt,in_co_pop,age_weight,income_weight,race_weight,grp.nmtr.all_1,grp.nmtr.all_2,grp.nmtr.all_3,grp.nmtr.all_4,grp.nmtr.all_5,grp.nmtr.all_6,grp.nmtr.all_7,grp.nmtr.all_8,grp.nmtr.all_10,grp.nmtr.all_11,grp.nmtr.all_12,grp.nmtr.all_13,act.mtr.all_1,act.mtr.all_2,act.mtr.all_3,act.mtr.all_4,act.mtr.all_6,act.mtr.all_7,act.mtr.all_8,act.mtr.all_9,act.mtr.all_10,act.mtr.all_11,act.mtr.all_13
189,Complete,1,White,Female,18-34,0.8927761259005611,TRUE,18-34,75-100K,White,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked
5851,Complete,1,White,Female,18-34,0.8927761259005611,TRUE,18-34,35-50K,White,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
7919,Complete,0,Hispanic,Female,18-34,1.1913575916473782,TRUE,18-34,0-25K,Hispanic,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
8878,Complete,1,White,Male,18-34,1.105664313923388,TRUE,18-34,150K+,White,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked
667,Complete,1,White,Female,18-34,0.8073445887280496,TRUE,18-34,0-25K,White,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
8439,Complete,0,White,Female,35-54,0.7292286157879019,TRUE,35-54,25-35K,White,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
1751,Complete,1,White,Female,35-54,0.9430545676382112,TRUE,35-54,75-100K,White,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
2356,Partial,0,White,Female,35-54,0.8528117855861924,TRUE,35-54,NA,White,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2950,Complete,1,White,Female,18-34,0.8073445887280496,TRUE,18-34,35-50K,White,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked
4006,Complete,1,White,Female,18-34,0.8927761259005611,TRUE,18-34,150K+,White,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked
4180,Complete,1,White,Female,18-34,0.8927761259005611,TRUE,18-34,100-150K,White,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
8441,Complete,1,White,Female,55+,0.6788089874061404,TRUE,55+,150K+,White,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
9585,Complete,0,White,Male,55+,1.0871799354724117,TRUE,55+,35-50K,White,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
4313,Partial,1,White,Female,18-34,0.8927761259005611,TRUE,18-34,NA,White,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
4533,Complete,0,White,Male,18-34,1.105664313923388,TRUE,18-34,0-25K,White,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
