Vrid,id,Vstatus,age,sex,income,race,race_other,hispanic
98,C2058317730,Complete,45 to 54,Female,"Less than $25,000",White,"",No
99,C2058321874,Complete,45 to 54,Female,"Less than $25,000",Other,unecessary question,No
100,C2058323362,Partial,,,,,"",
101,C2058324714,Complete,35 to 44,Male,"$25,000 to $34,999",White,"",No
102,C2058327255,Complete,35 to 44,Female,"$50,000 to $74,999",Black/African-American,"",No
103,C2058333971,Complete,18 to 24,Male,"$25,000 to $34,999",White,"",No
104,C2058334912,Complete,55 to 64,Female,"$75,000 to $99,999",White,"",No
105,C2058335261,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
106,C2058335070,Complete,45 to 54,Female,"$35,000 to $49,999",Black/African-American,"",No
107,C2058335430,Complete,35 to 44,Male,"$25,000 to $34,999",White,"",Yes
108,C2058332897,Complete,25 to 34,Female,"$100,000 to $124,999",Asian,"",Yes
109,C2058336678,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
110,C2058338484,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",Yes
111,C2058338748,Complete,55 to 64,Female,"$25,000 to $34,999",White,"",No
112,C2058340000,Complete,75 or older,Female,"Less than $25,000",White,"",No
113,C2058339645,Complete,45 to 54,Female,"$25,000 to $34,999",White,"",No
114,C2058340422,Partial,,,,,"",
115,C2058341094,Complete,25 to 34,Male,"Less than $25,000",White,"",No
116,C2058341188,Complete,55 to 64,Female,"$50,000 to $74,999",White,"",No
117,C2058341994,Complete,35 to 44,Female,"$75,000 to $99,999",White,"",No
118,C2058342230,Complete,25 to 34,Female,"Less than $25,000",White,"",No
119,C2058342688,Complete,55 to 64,Female,"$25,000 to $34,999",White,"",No
120,C2058343151,Disqualified,45 to 54,Male,"$35,000 to $49,999",White,"",No
121,C2058342970,Partial,,,,,"",
122,C2058343916,Partial,,,,,"",
123,C2058344726,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
124,C2058344559,Complete,35 to 44,Male,"Less than $25,000",White,"",Yes
125,C2058346229,Complete,45 to 54,Male,"$35,000 to $49,999",White,"",No
126,C2058346823,Complete,25 to 34,Female,"$100,000 to $124,999",White,"",No
127,C2058346324,Complete,35 to 44,Male,"$25,000 to $34,999",White,"",No
128,C2058348211,Complete,35 to 44,Female,"Less than $25,000",White,"",No
129,C2058348332,Complete,18 to 24,Female,"$50,000 to $74,999",Black/African-American,"",No
130,C2058348822,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
131,C2058345091,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",Yes
132,C2058351984,Partial,,,,,"",
133,C2058353927,Complete,25 to 34,Female,"$150,000 or more",White,"",No
134,C2058358897,Complete,25 to 34,Male,"Less than $25,000",White,"",No
135,C2058360916,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
136,C2058363696,Complete,25 to 34,Female,"Less than $25,000",White,"",No
137,C2058363098,Complete,55 to 64,Female,"Less than $25,000",White,"",No
138,C2058364306,Partial,,,,,"",
139,C2058365634,Complete,35 to 44,Female,"$100,000 to $124,999",Asian,"",No
140,C2058366543,Complete,55 to 64,Male,"$35,000 to $49,999",White,"",No
141,C2058363026,Complete,35 to 44,Female,"$150,000 or more",White,"",No
142,C2058357196,Complete,45 to 54,Female,"$25,000 to $34,999",White,"",No
143,C2058367900,Complete,65 to 74,Male,"$100,000 to $124,999",White,"",No
144,C2058369100,Complete,18 to 24,Female,"$50,000 to $74,999",White,"",No
145,C2058371422,Complete,18 to 24,Female,"$35,000 to $49,999",White,"",No
146,C2058375254,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
147,C2058376523,Complete,75 or older,Male,"$150,000 or more",White,"",No
148,C2058376600,Partial,,,,,"",
149,C2058377754,Complete,45 to 54,Female,"$125,000 to $149,999",White,"",No
150,C2058377448,Complete,35 to 44,Male,"$25,000 to $34,999",White,"",No
151,C2058381366,Complete,45 to 54,Female,"$100,000 to $124,999",American Indian/Alaska Native,"",Yes
152,C2058382400,Complete,25 to 34,Male,"$125,000 to $149,999",White,"",No
153,C2058382707,Complete,45 to 54,Female,"$25,000 to $34,999",Asian,"",No
154,C2058385132,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
155,C2058385116,Complete,75 or older,Female,"$125,000 to $149,999",White,"",No
156,C2058386154,Complete,45 to 54,Female,"$35,000 to $49,999",White,"",No
157,C2058389011,Complete,35 to 44,Male,"$125,000 to $149,999",White,"",No
158,C2058390285,Complete,25 to 34,Female,"Less than $25,000",Other,Hispanic,Yes
159,C2058390256,Complete,18 to 24,Male,"$35,000 to $49,999",Other,MEXICAN,Yes
160,C2058399853,Complete,35 to 44,Female,"$50,000 to $74,999",Black/African-American,"",No
161,C2058400518,Complete,45 to 54,Male,"Less than $25,000",Other,american,No
162,C2058400390,Complete,65 to 74,Male,"$125,000 to $149,999",White,"",No
163,C2058400374,Complete,65 to 74,Female,"$100,000 to $124,999",White,"",No
164,C2058402356,Complete,45 to 54,Male,"$25,000 to $34,999",Other,Mexican American,Yes
165,C2058397210,Complete,45 to 54,Female,"$100,000 to $124,999",White,"",No
166,C2058412752,Complete,55 to 64,Female,"Less than $25,000",White,"",No
167,C2058416586,Complete,35 to 44,Male,"$75,000 to $99,999",White,"",No
168,C2058418865,Complete,25 to 34,Female,"$75,000 to $99,999",White,"",No
169,C2058425489,Complete,45 to 54,Male,"$25,000 to $34,999",White,"",No
170,C2058431472,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
171,C2058436948,Complete,65 to 74,Male,"$35,000 to $49,999",White,"",No
172,C2058437571,Complete,45 to 54,Female,"Less than $25,000",White,"",No
173,C2058438505,Complete,18 to 24,Female,"Less than $25,000",Asian,"",No
174,C2058447055,Complete,75 or older,Male,"$125,000 to $149,999",White,"",No
175,C2058450889,Complete,55 to 64,Male,"$75,000 to $99,999",White,"",No
176,C2058452655,Complete,75 or older,Male,"$150,000 or more",White,"",No
177,C2058450515,Complete,65 to 74,Female,"Less than $25,000",White,"",No
178,C2058457010,Complete,45 to 54,Female,"$100,000 to $124,999",White,"",No
179,C2058458286,Complete,45 to 54,Male,"$50,000 to $74,999",White,"",No
180,C2058460469,Complete,45 to 54,Female,"$35,000 to $49,999",White,"",No
181,C2058468700,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
182,C2058473205,Partial,,,,,"",
183,C2058474120,Partial,,,,,"",
184,C2058474869,Disqualified,25 to 34,Female,"$50,000 to $74,999",White,"",No
185,C2058476485,Complete,45 to 54,Female,"$125,000 to $149,999",White,"",No
186,C2058481580,Complete,75 or older,Female,"$50,000 to $74,999",White,"",No
187,C2058483925,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",Yes
188,C2058489637,Complete,45 to 54,Female,"$75,000 to $99,999",White,"",No
189,C2058493330,Complete,25 to 34,Female,"$50,000 to $74,999",Other,Dominican,Yes
190,C2058492503,Complete,35 to 44,Female,"$125,000 to $149,999",White,"",No
191,C2058497090,Complete,65 to 74,Male,"$35,000 to $49,999",White,"",No
192,C2058496952,Complete,65 to 74,Female,"$25,000 to $34,999",White,"",No
193,C2058497076,Complete,55 to 64,Male,"$50,000 to $74,999",White,"",No
194,C2058496666,Complete,35 to 44,Female,"$75,000 to $99,999",White,"",No
195,C2058500876,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
196,C2058501694,Complete,18 to 24,Male,"$50,000 to $74,999",White,"",No
197,C2058502048,Complete,25 to 34,Female,"$125,000 to $149,999",White,"",No
198,C2058502512,Complete,65 to 74,Male,"$125,000 to $149,999",White,"",No
199,C2058502492,Complete,65 to 74,Male,"$125,000 to $149,999",White,"",No
200,C2058504776,Complete,75 or older,Male,"$75,000 to $99,999",White,"",No
201,C2058505390,Partial,,,,,"",
202,C2058513230,Complete,65 to 74,Male,"$50,000 to $74,999",White,"",No
203,C2058522021,Complete,45 to 54,Female,"$50,000 to $74,999",White,"",No
204,C2058524663,Complete,55 to 64,Female,"$35,000 to $49,999",White,"",No
205,C2058527469,Complete,35 to 44,Male,"$25,000 to $34,999",White,"",No
206,C2058529836,Complete,18 to 24,Female,"$35,000 to $49,999",Black/African-American,"",No
207,C2058530660,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
208,C2058531294,Complete,18 to 24,Female,"$75,000 to $99,999",White,"",No
209,C2058536025,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
210,C2058536518,Complete,35 to 44,Female,"$75,000 to $99,999",White,"",No
211,C2058546841,Complete,45 to 54,Female,"Less than $25,000",Black/African-American,"",No
212,C2058552920,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
213,C2058553647,Complete,18 to 24,Female,"$25,000 to $34,999",Black/African-American,"",No
214,C2058564836,Complete,45 to 54,Female,"$50,000 to $74,999",White,"",No
215,C2058566203,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
216,C2058566448,Complete,55 to 64,Male,"$125,000 to $149,999",White,"",No
217,C2058565815,Complete,25 to 34,Female,"$50,000 to $74,999",Asian,"",No
218,C2058566273,Partial,,,,,"",
219,C2058573289,Complete,18 to 24,Female,"$125,000 to $149,999",Asian,"",No
220,C2058576831,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
221,C2058591358,Complete,18 to 24,Female,"$100,000 to $124,999",American Indian/Alaska Native,"",No
222,C2058592471,Disqualified,18 to 24,Male,"Less than $25,000",White,"",No
223,C2058593235,Complete,18 to 24,Female,"Less than $25,000",White,"",No
224,C2058598954,Complete,45 to 54,Female,"$25,000 to $34,999",White,"",No
225,C2058605529,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
226,C2058608533,Complete,18 to 24,Female,"Less than $25,000",White,"",Yes
227,C2058658839,Complete,18 to 24,Female,"$25,000 to $34,999",Other,Hispanic/Latino,Yes
228,C2058703405,Complete,45 to 54,Male,"$100,000 to $124,999",White,"",No
229,C2058745380,Complete,25 to 34,Male,"$100,000 to $124,999",White,"",Yes
230,C2058786009,Complete,45 to 54,Male,"$50,000 to $74,999",White,"",Yes
231,C2058789430,Complete,75 or older,Female,"$35,000 to $49,999",White,"",No
232,C2058795954,Complete,35 to 44,Female,"$150,000 or more",White,"",No
233,C2058812154,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
234,C2058834635,Complete,25 to 34,Female,"$125,000 to $149,999",White,"",No
235,C2058837196,Complete,18 to 24,Male,"Less than $25,000",Black/African-American,"",No
236,C2058873223,Complete,35 to 44,Female,"$150,000 or more",White,"",No
237,C2058884744,Complete,35 to 44,Male,"$150,000 or more",White,"",No
238,C2058909519,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
239,C2058914306,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
240,C2058917474,Complete,18 to 24,Male,"$75,000 to $99,999",White,"",No
241,C2058923896,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
242,C2058938386,Complete,45 to 54,Male,"$100,000 to $124,999",White,"",No
243,C2058943612,Complete,45 to 54,Female,"$75,000 to $99,999",White,"",No
244,C2058946033,Complete,35 to 44,Female,"Less than $25,000",White,"",No
245,C2058957687,Complete,25 to 34,Male,"$100,000 to $124,999",White,"",No
246,C2058963461,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
247,C2058967715,Complete,18 to 24,Male,"$100,000 to $124,999",White,"",No
248,C2058988842,Complete,65 to 74,Female,"$150,000 or more",White,"",No
249,C2058988460,Complete,65 to 74,Male,"Less than $25,000",White,"",No
250,C2058995413,Complete,65 to 74,Female,"$75,000 to $99,999",White,"",No
251,C2059015298,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
252,C2059151126,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
253,C2059155507,Complete,55 to 64,Female,"$35,000 to $49,999",White,"",No
254,C2059160415,Complete,65 to 74,Male,"$150,000 or more",White,"",No
255,C2059162816,Complete,55 to 64,Female,"$35,000 to $49,999",American Indian/Alaska Native,"",No
256,C2059164617,Complete,65 to 74,Female,"$100,000 to $124,999",White,"",No
257,C2059167999,Complete,35 to 44,Male,"$150,000 or more",White,"",No
258,C2059163153,Partial,,,,,"",
259,C2059170938,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",Yes
260,C2059169895,Partial,,,,,"",
261,C2059169895,Complete,55 to 64,Male,"$100,000 to $124,999",White,"",No
262,C2059174735,Complete,18 to 24,Male,"Less than $25,000",White,"",No
263,C2059176334,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
264,C2059177495,Complete,45 to 54,Male,"Less than $25,000",White,"",No
265,C2059177978,Complete,25 to 34,Male,"$35,000 to $49,999",White,"",No
266,C2059185592,Complete,75 or older,Male,"Less than $25,000",White,"",No
267,C2059184935,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
268,C2059189324,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
269,C2059192122,Complete,65 to 74,Female,"Less than $25,000",White,"",No
270,C2059192461,Complete,25 to 34,Male,"$75,000 to $99,999",White,"",No
271,C2059193301,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
272,C2059195072,Complete,55 to 64,Male,"$50,000 to $74,999",White,"",No
273,C2059191165,Complete,25 to 34,Female,"$50,000 to $74,999",American Indian/Alaska Native,"",No
274,C2059193420,Complete,35 to 44,Male,"$50,000 to $74,999",White,"",No
275,C2059197578,Complete,25 to 34,Male,"$25,000 to $34,999",White,"",No
276,C2059200723,Complete,18 to 24,Male,"Less than $25,000",White,"",No
277,C2059203020,Complete,55 to 64,Female,"$125,000 to $149,999",White,"",No
278,C2059208513,Complete,45 to 54,Male,"$25,000 to $34,999",White,"",No
279,C2059218594,Complete,55 to 64,Male,"$50,000 to $74,999",White,"",No
280,C2059226997,Complete,18 to 24,Male,"$35,000 to $49,999",Other,Mixed Race,Yes
281,C2059227637,Complete,65 to 74,Female,"Less than $25,000",White,"",No
282,C2059233745,Complete,18 to 24,Female,"Less than $25,000",White,"",No
283,C2059234196,Complete,35 to 44,Female,"$100,000 to $124,999",Other,mixed,Yes
284,C2059237192,Complete,65 to 74,Male,"$100,000 to $124,999",White,"",No
285,C2059237628,Complete,65 to 74,Female,"Less than $25,000",White,"",No
286,C2059238710,Complete,18 to 24,Male,"Less than $25,000",American Indian/Alaska Native,"",No
287,C2059243544,Complete,65 to 74,Female,"Less than $25,000",White,"",No
288,C2059246801,Complete,45 to 54,Female,"$75,000 to $99,999",White,"",No
289,C2059253884,Complete,45 to 54,Male,"$35,000 to $49,999",White,"",Yes
290,C2059227467,Complete,65 to 74,Female,"$150,000 or more",White,"",No
291,C2059259211,Complete,55 to 64,Male,"$100,000 to $124,999",White,"",No
292,C2059260120,Complete,18 to 24,Male,"$35,000 to $49,999",White,"",No
293,C2059261887,Partial,,,,,"",
294,C2059260502,Partial,,,,,"",
295,C2059261051,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
296,C2059268068,Partial,,,,,"",
297,C2059269013,Complete,65 to 74,Female,"$75,000 to $99,999",White,"",No
298,C2059271486,Partial,,,,,"",
299,C2059229580,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
300,C2059274124,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
301,C2059274220,Complete,45 to 54,Female,"$125,000 to $149,999",White,"",No
302,C2059278197,Partial,,,,,"",
303,C2059280682,Complete,18 to 24,Female,"Less than $25,000",White,"",No
304,C2059282787,Partial,,,,,"",
305,C2059292519,Complete,75 or older,Male,"$75,000 to $99,999",White,"",No
306,C2059292076,Complete,25 to 34,Female,"$125,000 to $149,999",Native Hawaiian or Other Pacific Islander,"",Yes
307,C2059293765,Complete,35 to 44,Male,"$100,000 to $124,999",White,"",No
308,C2059295094,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",Yes
309,C2059295964,Partial,,,,,"",
310,C2059301712,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
311,C2059302119,Complete,45 to 54,Male,"$25,000 to $34,999",White,"",No
312,C2059308504,Complete,65 to 74,Female,"$75,000 to $99,999",White,"",No
313,C2059308320,Complete,25 to 34,Female,"Less than $25,000",White,"",No
314,C2059310480,Complete,65 to 74,Female,"$150,000 or more",American Indian/Alaska Native,"",No
315,C2059310891,Partial,,,,,"",
316,C2059311255,Complete,25 to 34,Female,"Less than $25,000",Other,Hispanic,Yes
317,C2059312050,Complete,18 to 24,Female,"Less than $25,000",White,"",Yes
318,C2059311148,Complete,65 to 74,Male,"$50,000 to $74,999",White,"",No
319,C2059316491,Partial,55 to 64,,,,"",
320,C2059321190,Complete,25 to 34,Male,"$75,000 to $99,999",White,"",No
321,C2059322105,Complete,55 to 64,Female,"Less than $25,000",White,"",No
322,C2059326392,Complete,55 to 64,Female,"$75,000 to $99,999",White,"",No
323,C2059326210,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
324,"",Partial,,,,,"",
325,C2059329483,Disqualified,65 to 74,Male,"$125,000 to $149,999",White,"",No
326,C2059330028,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",Yes
327,C2059336394,Complete,18 to 24,Female,"$25,000 to $34,999",White,"",No
328,C2059336949,Complete,18 to 24,Male,"$50,000 to $74,999",Other,Hispanic,Yes
329,C2059339816,Complete,55 to 64,Female,"$75,000 to $99,999",White,"",No
330,C2059340497,Partial,,,,,"",
331,C2059347732,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
