State and Local Tax Impact by Direct,,,,,,,
InstitutionReceipts,TransferType,Description,Employee Compensation,Proprietor Income,Tax on Production and Imports,Households,Corporations
12001,15007,Dividends,,,,,"$40,506"
12001,15014,Social Ins Tax- Employee Contribution,"$116,920",$0,,,
12001,15015,Social Ins Tax- Employer Contribution,"$206,068",,,,
12001,15020,TOPI: Sales Tax,,,"$14,671,099",,
12001,15021,TOPI: Property Tax,,,"$12,405,539",,
12001,15022,TOPI: Motor Vehicle Lic,,,"$372,718",,
12001,15023,TOPI: Severance Tax,,,"$28,673",,
12001,15024,TOPI: Other Taxes,,,"$798,410",,
12001,15025,TOPI: S/L NonTaxes,,,"$326,984",,
12001,15026,Corporate Profits Tax,,,,,"$201,751"
12001,15027,Personal Tax: Income Tax,,,,"$2,150,854",
12001,15029,Personal Tax: NonTaxes (Fines- Fees,,,,"$394,237",
12001,15030,Personal Tax: Motor Vehicle License,,,,"$129,812",
12001,15031,Personal Tax: Property Taxes,,,,"$44,324",
12001,15032,Personal Tax: Other Tax (Fish/Hunt),,,,"$75,828",
12001,99999,Total State and Local Tax,"$322,988",$0,"$28,603,422","$2,795,055","$242,257"
