State and Local Tax Impact by Direct,,,,,,,
InstitutionReceipts,TransferType,Description,Employee Compensation,Proprietor Income,Tax on Production and Imports,Households,Corporations
12001,15007,Dividends,,,,,"$18,347"
12001,15014,Social Ins Tax- Employee Contribution,"$53,053",$0,,,
12001,15015,Social Ins Tax- Employer Contribution,"$93,505",,,,
12001,15020,TOPI: Sales Tax,,,"$4,071,706",,
12001,15021,TOPI: Property Tax,,,"$3,442,939",,
12001,15022,TOPI: Motor Vehicle Lic,,,"$103,441",,
12001,15023,TOPI: Severance Tax,,,"$7,958",,
12001,15024,TOPI: Other Taxes,,,"$221,585",,
12001,15025,TOPI: S/L NonTaxes,,,"$90,749",,
12001,15026,Corporate Profits Tax,,,,,"$91,380"
12001,15027,Personal Tax: Income Tax,,,,"$1,017,497",
12001,15029,Personal Tax: NonTaxes (Fines- Fees,,,,"$186,500",
12001,15030,Personal Tax: Motor Vehicle License,,,,"$61,410",
12001,15031,Personal Tax: Property Taxes,,,,"$20,968",
12001,15032,Personal Tax: Other Tax (Fish/Hunt),,,,"$35,872",
12001,99999,Total State and Local Tax,"$146,558",$0,"$7,938,377","$1,322,247","$109,726"
