State and Local Tax Impact by Total,,,,,,,
InstitutionReceipts,TransferType,Description,Employee Compensation,Proprietor Income,Tax on Production and Imports,Households,Corporations
12001,15007,Dividends,,,,,"$43,719"
12001,15014,Social Ins Tax- Employee Contribution,"$98,526",$0,,,
12001,15015,Social Ins Tax- Employer Contribution,"$173,649",,,,
12001,15020,TOPI: Sales Tax,,,"$6,615,667",,
12001,15021,TOPI: Property Tax,,,"$5,594,053",,
12001,15022,TOPI: Motor Vehicle Lic,,,"$168,071",,
12001,15023,TOPI: Severance Tax,,,"$12,929",,
12001,15024,TOPI: Other Taxes,,,"$360,028",,
12001,15025,TOPI: S/L NonTaxes,,,"$147,448",,
12001,15026,Corporate Profits Tax,,,,,"$217,753"
12001,15027,Personal Tax: Income Tax,,,,"$1,887,470",
12001,15029,Personal Tax: NonTaxes (Fines- Fees,,,,"$345,960",
12001,15030,Personal Tax: Motor Vehicle License,,,,"$113,916",
12001,15031,Personal Tax: Property Taxes,,,,"$38,896",
12001,15032,Personal Tax: Other Tax (Fish/Hunt),,,,"$66,543",
12001,99999,Total State and Local Tax,"$272,175",$0,"$12,898,196","$2,452,786","$261,473"
