State and Local Tax Impact by Direct,,,,,,,
InstitutionReceipts,TransferType,Description,Employee Compensation,Proprietor Income,Tax on Production and Imports,Households,Corporations
12001,15007,Dividends,,,,,"$42,643"
12001,15014,Social Ins Tax- Employee Contribution,"$115,476",$0,,,
12001,15015,Social Ins Tax- Employer Contribution,"$203,524",,,,
12001,15020,TOPI: Sales Tax,,,"$9,152,303",,
12001,15021,TOPI: Property Tax,,,"$7,738,974",,
12001,15022,TOPI: Motor Vehicle Lic,,,"$232,514",,
12001,15023,TOPI: Severance Tax,,,"$17,887",,
12001,15024,TOPI: Other Taxes,,,"$498,074",,
12001,15025,TOPI: S/L NonTaxes,,,"$203,983",,
12001,15026,Corporate Profits Tax,,,,,"$212,393"
12001,15027,Personal Tax: Income Tax,,,,"$2,128,130",
12001,15029,Personal Tax: NonTaxes (Fines- Fees,,,,"$390,072",
12001,15030,Personal Tax: Motor Vehicle License,,,,"$128,441",
12001,15031,Personal Tax: Property Taxes,,,,"$43,856",
12001,15032,Personal Tax: Other Tax (Fish/Hunt),,,,"$75,027",
12001,99999,Total State and Local Tax,"$319,000",$0,"$17,843,734","$2,765,525","$255,036"
