Vrid,group,flag_name,value,id
673,incomplete,na_days,3,C2061161001
1060,incomplete,na_days,3,C2067456569
1410,incomplete,na_days,3,C2075101607
1443,incomplete,na_days,3,C2075159356
129,incomplete,na_part_water,3,C2058348332
134,incomplete,na_part_water,3,C2058358897
163,incomplete,na_part_water,3,C2058400374
179,incomplete,na_part_water,3,C2058458286
188,incomplete,na_part_water,3,C2058489637
197,incomplete,na_part_water,3,C2058502048
266,incomplete,na_part_water,3,C2059185592
356,incomplete,na_part_water,3,C2059398787
359,incomplete,na_part_water,3,C2059407513
425,incomplete,na_part_water,3,C2059736965
428,incomplete,na_part_water,3,C2059741339
479,incomplete,na_part_water,3,C2059884555
485,incomplete,na_part_water,3,C2059896498
513,incomplete,na_part_water,3,C2059969710
525,incomplete,na_part_water,3,C2060026351
533,incomplete,na_part_water,3,C2060065629
567,incomplete,na_part_water,3,C2060228111
614,incomplete,na_part_water,3,C2060582440
642,incomplete,na_part_water,3,C2061065084
650,incomplete,na_part_water,3,C2061078027
670,incomplete,na_part_water,3,C2061151916
685,incomplete,na_part_water,3,C2061217992
740,incomplete,na_part_water,3,C2061396311
743,incomplete,na_part_water,3,C2061410925
753,incomplete,na_part_water,3,C2061454391
755,incomplete,na_part_water,3,C2061463622
810,incomplete,na_part_water,3,C2062191974
816,incomplete,na_part_water,3,C2062226750
848,incomplete,na_part_water,3,C2062373890
870,incomplete,na_part_water,3,C2062641914
899,incomplete,na_part_water,3,C2063951511
943,incomplete,na_part_water,3,C2065215569
976,incomplete,na_part_water,3,C2066214783
983,incomplete,na_part_water,3,C2066364039
1007,incomplete,na_part_water,3,C2067117513
1060,incomplete,na_part_water,3,C2067456569
1085,incomplete,na_part_water,3,C2067513355
1126,incomplete,na_part_water,3,C2067857678
1178,incomplete,na_part_water,3,C2068113856
1204,incomplete,na_part_water,3,C2074705771
1234,incomplete,na_part_water,3,C2074757197
1251,incomplete,na_part_water,3,C2061396311
1346,incomplete,na_part_water,3,C2074950652
1356,incomplete,na_part_water,3,C2074984386
896,incomplete,na_days_water,3,C2063603563
1074,incomplete,na_days_water,3,C2067488416
141,incomplete,na_basin,3,C2058363026
225,incomplete,na_basin,3,C2058605529
235,incomplete,na_basin,3,C2058837196
239,incomplete,na_basin,3,C2058914306
280,incomplete,na_basin,3,C2059226997
398,incomplete,na_basin,3,C2059573191
427,incomplete,na_basin,3,C2059740599
545,incomplete,na_basin,3,C2060085424
573,incomplete,na_basin,3,C2060333213
586,incomplete,na_basin,3,C2060411707
638,incomplete,na_basin,3,C2061052596
658,incomplete,na_basin,3,C2061106369
674,incomplete,na_basin,3,C2061164639
694,incomplete,na_basin,3,C2061250818
871,incomplete,na_basin,3,C2062667609
1006,incomplete,na_basin,3,C2067113364
1012,incomplete,na_basin,3,C2067113883
1038,incomplete,na_basin,3,C2067139864
1084,incomplete,na_basin,3,C2067513982
1093,incomplete,na_basin,3,C2067532303
1203,incomplete,na_basin,3,C2074705144
1222,incomplete,na_basin,3,1025295790
1241,incomplete,na_basin,3,C2074766745
1344,incomplete,na_basin,3,C2074926073
1397,incomplete,na_basin,3,C2075087361
1407,incomplete,na_basin,3,C2075097375
171,incomplete,na_basin_days,3,C2058436948
249,incomplete,na_basin_days,3,C2058988460
271,incomplete,na_basin_days,3,C2059193301
299,incomplete,na_basin_days,3,C2059229580
308,incomplete,na_basin_days,3,C2059295094
340,incomplete,na_basin_days,3,C2059371056
389,incomplete,na_basin_days,3,C2059511299
394,incomplete,na_basin_days,3,C2059550681
459,incomplete,na_basin_days,3,C2059808329
485,incomplete,na_basin_days,3,C2059896498
512,incomplete,na_basin_days,3,C2059969577
529,incomplete,na_basin_days,3,C2060049300
546,incomplete,na_basin_days,3,C2060086528
568,incomplete,na_basin_days,3,C2060307029
570,incomplete,na_basin_days,3,C2060314227
579,incomplete,na_basin_days,3,1184357874
617,incomplete,na_basin_days,3,C2060595931
618,incomplete,na_basin_days,3,C2060604354
624,incomplete,na_basin_days,3,C2060628748
633,incomplete,na_basin_days,3,C2060714993
647,incomplete,na_basin_days,3,C2061073878
654,incomplete,na_basin_days,3,C2061101026
667,incomplete,na_basin_days,3,C2061140981
673,incomplete,na_basin_days,3,C2061161001
687,incomplete,na_basin_days,3,C2061228374
722,incomplete,na_basin_days,3,C2061352646
752,incomplete,na_basin_days,3,1184585350
803,incomplete,na_basin_days,3,C2062144341
809,incomplete,na_basin_days,3,C2062176920
813,incomplete,na_basin_days,3,C2062217522
822,incomplete,na_basin_days,3,C2062281680
835,incomplete,na_basin_days,3,C2062334550
875,incomplete,na_basin_days,3,C2062728676
885,incomplete,na_basin_days,3,C2062951541
887,incomplete,na_basin_days,3,C2063063757
901,incomplete,na_basin_days,3,C2063995924
919,incomplete,na_basin_days,3,C2064917282
938,incomplete,na_basin_days,3,C2065168849
