id,Vrid,all_activities,all_basins,high_days,high_sum_days,multiple_responses
,1087,0,0,0,0,3
,1404,0,0,0,0,3
,984,0,0,0,0,3
1003534422,612,0,0,0,0,3
1003534422,613,0,0,0,0,3
1056716859,444,0,0,0,0,3
1056716859,787,0,0,0,0,3
1090290674,507,0,0,0,0,3
1090290674,649,0,0,0,0,3
1101263914,944,0,0,0,0,3
1101263914,945,0,0,0,0,3
1154177130,1100,0,0,0,0,3
1154177130,1101,0,0,0,0,3
1187417571,894,0,0,0,0,3
1187417571,902,0,0,0,0,3
1187417571,995,0,0,0,0,3
1190240771,1297,0,0,2,1,0
C2059237628,1192,0,0,0,0,3
C2059237628,285,0,0,0,0,3
C2059301712,1223,0,0,0,0,3
C2059301712,310,0,0,0,0,3
C2059736965,425,0,0,0,1,0
C2059748281,434,1,0,0,0,0
C2059843393,467,0,0,0,0,3
C2059843393,537,0,0,0,0,3
C2060595931,617,1,0,0,0,0
C2061073878,647,1,0,0,0,0
C2061078027,1042,0,0,0,0,3
C2061078027,650,0,0,0,0,3
C2061396311,1251,0,0,0,0,3
C2061396311,740,0,0,0,0,3
C2061483313,763,0,1,0,0,0
C2061581250,1119,0,0,0,0,3
C2061581250,780,0,0,0,0,3
C2061913834,792,0,1,0,0,0
C2063959293,900,0,0,1,0,0
C2065980915,969,1,0,0,0,0
C2066919131,1001,0,1,0,0,0
C2067153579,1024,0,0,0,0,3
C2067153579,1029,0,0,0,0,3
C2067159333,1030,0,0,1,1,0
C2067374038,1049,0,0,0,0,3
C2067374038,1050,0,0,0,0,3
C2074725203,1213,0,0,0,0,3
C2074725203,1216,0,0,0,0,3
C2074810606,1286,1,0,0,0,0
C2074982135,1353,0,0,1,1,0
