"Package","Version"
"acepack","1.4.1"
"anesrake","0.80"
"checkmate","1.8.5"
"cowplot","0.9.3"
"data.table","1.11.4"
"Formula","1.2-3"
"gdata","2.18.0"
"gridExtra","2.3"
"gtools","3.8.1"
"Hmisc","4.1-1"
"htmlTable","1.12"
"jomo","2.6-3"
"latticeExtra","0.6-28"
"lme4","1.1-17"
"mice","3.3.0"
"minqa","1.2.4"
"mitml","0.3-6"
"nloptr","1.0.4"
"openxlsx","4.1.0"
"pan","1.6"
"pander","0.6.2"
"RcppEigen","0.3.3.4.0"
"skimr","1.0.3"
"viridis","0.5.1"
"weights","0.90"
"zip","1.0.0"
